"triangles","roles","presentation_position","stimid","hm_rotations","decoydist","area1","area2","area3","NorthSouth1","NorthSouth2","NorthSouth3","EastWest1","EastWest2","EastWest3","orientation1","orientation2","orientation3","templatetype1","templatetype2","templatetype3","presentation1","presentation2","presentation3","ppntID","positionchosen","rolechosen","drawtime","responsetime","presentationsequence"
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":50,""y3"":100,""x2"":-50},{""base"":102.46950765959599,""height"":51.234753829797995,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":102.46950765959599,""y1"":0,""y2"":51.234753829797995,""y3"":0,""x2"":51.234753829797995}]","[""targ"",""comp"",""decoy""]","[2,1,0]","winner1.05shapes100",0,"1.05",2500.000000000002,2500,2625.0000000000005,50,100,51.234753829797995,100,50,102.46950765959599,0,1,0,"rightangle","equilateral","equilateral",2,1,0,"1042768","1","comp",1529957003336,1529957005655,21
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":95,""height"":52.631578947368396,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":95,""y1"":0,""y2"":52.631578947368396,""y3"":0,""x2"":0}]","[""targ"",""comp"",""decoy""]","[1,0,2]","compromise-0.05shapes100",0,"-0.05",2500,2500.000000000002,2499.9999999999995,50,100,52.631578947368396,100,50,95,0,1,0,"equilateral","rightangle","rightangle",1,0,2,"1042768","1","targ",1529957005655,1529957013529,22
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":102.46950765959599,""height"":51.234753829797995,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":102.46950765959599,""y1"":0,""y2"":51.234753829797995,""y3"":0,""x2"":0}]","[""targ"",""comp"",""decoy""]","[2,1,0]","winner1.05shapes000",0,"1.05",2500.000000000002,2500.000000000002,2625.0000000000014,50,100,51.234753829797995,100,50,102.46950765959599,0,1,0,"rightangle","rightangle","rightangle",2,1,0,"1042768","0","decoy",1529957013529,1529957016010,23
"[{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":25},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":90,""height"":55.5555555555556,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":90,""y1"":0,""y2"":55.5555555555556,""y3"":0,""x2"":45}]","[""targ"",""comp"",""decoy""]","[0,1,2]","compromise-0.1shapes001",0,"-0.1",2499.999999999999,2499.999999999999,2500.000000000002,50,100,55.5555555555556,100,50,90,0,1,0,"skew","skew","equilateral",0,1,2,"1042768","2","decoy",1529957016010,1529957018170,24
"[{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":25},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":94.8683298050514,""height"":47.4341649025257,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":94.8683298050514,""y1"":0,""y2"":47.4341649025257,""y3"":0,""x2"":47.4341649025257}]","[""targ"",""comp"",""decoy""]","[2,0,1]","attraction0.9shapes001",0,"0.9",2499.999999999999,2499.999999999999,2250.0000000000014,50,100,47.4341649025257,100,50,94.8683298050514,0,1,0,"skew","skew","equilateral",2,0,1,"1042768","1","targ",1529957018170,1529957020154,25
"[{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":25},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":85,""height"":58.823529411764696,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":85,""y1"":0,""y2"":58.823529411764696,""y3"":0,""x2"":21.25}]","[""targ"",""comp"",""decoy""]","[2,1,0]","compromise-0.15shapes010",0,"-0.15",2499.999999999999,2500.000000000002,2500,50,100,58.823529411764696,100,50,85,0,1,0,"skew","rightangle","skew",2,1,0,"1042768","0","decoy",1529957020154,1529957021691,26
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":95,""height"":52.631578947368396,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":95,""y1"":0,""y2"":52.631578947368396,""y3"":0,""x2"":0}]","[""targ"",""comp"",""decoy""]","[0,2,1]","compromise-0.05shapes000",0,"-0.05",2500.000000000002,2500.000000000002,2499.9999999999995,50,100,52.631578947368396,100,50,95,0,1,0,"rightangle","rightangle","rightangle",0,2,1,"1042768","1","decoy",1529957021691,1529957025242,27
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":92.19544457292889,""height"":46.097722286464396,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":92.19544457292889,""y1"":0,""y2"":46.097722286464396,""y3"":0,""x2"":46.097722286464446}]","[""targ"",""comp"",""decoy""]","[1,0,2]","attraction0.85shapes012",0,"0.85",2500.000000000002,2499.999999999999,2124.9999999999986,50,100,46.097722286464396,100,50,92.19544457292889,0,1,0,"rightangle","skew","equilateral",1,0,2,"1042768","2","decoy",1529957025242,1529957029667,28
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":50,""y3"":100,""x2"":-50},{""base"":97.4679434480896,""height"":48.7339717240448,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":97.4679434480896,""y1"":0,""y2"":48.7339717240448,""y3"":0,""x2"":0}]","[""targ"",""comp"",""decoy""]","[0,1,2]","attraction0.95shapes001",0,"0.95",2500,2500,2374.9999999999986,50,100,48.7339717240448,100,50,97.4679434480896,0,1,0,"equilateral","equilateral","rightangle",0,1,2,"1042768","1","comp",1529957029667,1529957031883,29
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":90,""height"":55.5555555555556,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":90,""y1"":0,""y2"":55.5555555555556,""y3"":0,""x2"":22.5}]","[""targ"",""comp"",""decoy""]","[0,1,2]","compromise-0.1shapes012",0,"-0.1",2500,2500.000000000002,2500.000000000002,50,100,55.5555555555556,100,50,90,0,1,0,"equilateral","rightangle","skew",0,1,2,"1042768","0","targ",1529957031883,1529957034178,30
