"triangles","roles","presentation_position","stimid","hm_rotations","decoydist","timelimit","area1","area2","area3","NorthSouth1","NorthSouth2","NorthSouth3","EastWest1","EastWest2","EastWest3","orientation1","orientation2","orientation3","templatetype1","templatetype2","templatetype3","presentation1","presentation2","presentation3","ppntID","positionchosen","rolechosen","drawtime","responsetime","presentationsequence"
"[{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":-25,""y3"":-100,""x2"":50},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":109.54451150103299,""height"":54.7722557505166,""templatetype"":""equilateral"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":-54.77225575051649,""y3"":-109.54451150103299,""x2"":54.7722557505166}]","[""targ"",""comp"",""decoy""]","[0,1,2]","winner1.2shapes100",3,"1.2",2000,2499.999999999999,2500,2999.9999999999923,100,50,109.54451150103299,50,100,54.7722557505166,3,0,3,"skew","equilateral","equilateral",0,1,2,"5489673","0","targ",1538071378096,1538071379281,24
"[{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":25},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":94.8683298050514,""height"":47.4341649025257,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":94.8683298050514,""y1"":0,""y2"":47.4341649025257,""y3"":0,""x2"":23.71708245126285}]","[""targ"",""comp"",""decoy""]","[1,0,2]","attraction0.9shapes000",0,"0.9",2000,2499.999999999999,2499.999999999999,2250.0000000000014,50,100,47.4341649025257,100,50,94.8683298050514,0,1,0,"skew","skew","skew",1,0,2,"5489673","1","targ",1538071379281,1538071380736,25
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":-50,""y3"":-100,""x2"":50},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":104.880884817015,""height"":52.44044240850761,""templatetype"":""equilateral"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":-52.4404424085075,""y3"":-104.880884817015,""x2"":52.44044240850761}]","[""targ"",""comp"",""decoy""]","[1,2,0]","winner1.1shapes010",3,"1.1",2000,2500,2500.000000000002,2749.999999999996,100,50,104.880884817015,50,100,52.44044240850761,3,0,3,"equilateral","rightangle","equilateral",1,2,0,"5489673","1","decoy",1538071380736,1538071382024,26
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":50,""y3"":100,""x2"":-50},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":2,""x1"":0,""x3"":-100,""y1"":0,""y2"":-50,""y3"":0,""x2"":0},{""base"":109.54451150103299,""height"":54.7722557505166,""templatetype"":""equilateral"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":54.77225575051649,""y3"":109.54451150103299,""x2"":-54.7722557505166}]","[""targ"",""comp"",""decoy""]","[2,1,0]","winner1.2shapes010",1,"1.2",2000,2500,2500.000000000002,2999.9999999999923,100,50,109.54451150103299,50,100,54.7722557505166,1,2,1,"equilateral","rightangle","equilateral",2,1,0,"5489673","2","targ",1538071382024,1538071383328,27
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":25,""y3"":100,""x2"":-50},{""base"":90,""height"":55.5555555555556,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":90,""y1"":0,""y2"":55.5555555555556,""y3"":0,""x2"":45}]","[""targ"",""comp"",""decoy""]","[0,1,2]","compromise-0.1shapes010",0,"-0.1",2000,2500,2499.999999999999,2500.000000000002,50,100,55.5555555555556,100,50,90,0,1,0,"equilateral","skew","equilateral",0,1,2,"5489673","2","decoy",1538071383328,1538071384601,28
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":-50,""y3"":-100,""x2"":50},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":104.880884817015,""height"":52.44044240850761,""templatetype"":""rightangle"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":-104.880884817015,""x2"":52.44044240850761}]","[""targ"",""comp"",""decoy""]","[2,0,1]","winner1.1shapes100",3,"1.1",2000,2500,2500.000000000002,2749.9999999999986,100,50,104.880884817015,50,100,52.44044240850761,3,0,3,"equilateral","rightangle","rightangle",2,0,1,"5489673","2","comp",1538071384601,1538071385801,29
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":-50,""y3"":-100,""x2"":50},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":25},{""base"":85,""height"":58.823529411764696,""templatetype"":""skew"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":-21.25,""y3"":-85,""x2"":58.823529411764696}]","[""targ"",""comp"",""decoy""]","[1,0,2]","compromise-0.15shapes100",3,"-0.15",2000,2500,2499.999999999999,2500,100,50,85,50,100,58.823529411764696,3,0,3,"equilateral","skew","skew",1,0,2,"5489673","1","targ",1538071385801,1538071387473,30
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":89.44271909999159,""height"":44.721359549995796,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":89.44271909999159,""y1"":0,""y2"":44.721359549995796,""y3"":0,""x2"":44.721359549995796}]","[""targ"",""comp"",""decoy""]","[2,1,0]","attraction0.8shapes001",0,"0.8",2000,2500.000000000002,2500.000000000002,2000.0000000000005,50,100,44.721359549995796,100,50,89.44271909999159,0,1,0,"rightangle","rightangle","equilateral",2,1,0,"5489673","0","decoy",1538071387473,1538071388865,31
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":-50,""y3"":-100,""x2"":50},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":50},{""base"":85,""height"":58.823529411764696,""templatetype"":""skew"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":-21.25,""y3"":-85,""x2"":58.823529411764696}]","[""targ"",""comp"",""decoy""]","[2,1,0]","compromise-0.15shapes001",3,"-0.15",2000,2500,2500,2500,100,50,85,50,100,58.823529411764696,3,0,3,"equilateral","equilateral","skew",2,1,0,"5489673","1","comp",1538071388865,1538071390386,32
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":2,""x1"":0,""x3"":-100,""y1"":0,""y2"":-50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":-100,""x2"":50},{""base"":109.54451150103299,""height"":54.7722557505166,""templatetype"":""rightangle"",""orientation"":2,""x1"":0,""x3"":-109.54451150103299,""y1"":0,""y2"":-54.7722557505166,""y3"":0,""x2"":0}]","[""targ"",""comp"",""decoy""]","[2,1,0]","winner1.2shapes000",2,"1.2",2000,2500.000000000002,2500.000000000002,2999.9999999999936,50,100,54.7722557505166,100,50,109.54451150103299,2,3,2,"rightangle","rightangle","rightangle",2,1,0,"5489673","1","comp",1538071390386,1538071391650,33
"[{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":50,""y3"":100,""x2"":-50},{""base"":100,""height"":50,""templatetype"":""equilateral"",""orientation"":2,""x1"":0,""x3"":-100,""y1"":0,""y2"":-50,""y3"":0,""x2"":-50},{""base"":94.8683298050514,""height"":47.4341649025257,""templatetype"":""skew"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":23.71708245126285,""y3"":94.8683298050514,""x2"":-47.4341649025257}]","[""targ"",""comp"",""decoy""]","[2,1,0]","attraction0.9shapes001",1,"0.9",2000,2500,2500,2250.0000000000014,100,50,94.8683298050514,50,100,47.4341649025257,1,2,1,"equilateral","equilateral","skew",2,1,0,"5489673","1","comp",1538071391650,1538071392610,34
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":2,""x1"":0,""x3"":-100,""y1"":0,""y2"":-50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""skew"",""orientation"":3,""x1"":0,""x3"":0,""y1"":0,""y2"":-25,""y3"":-100,""x2"":50},{""base"":95,""height"":52.631578947368396,""templatetype"":""skew"",""orientation"":2,""x1"":0,""x3"":-95,""y1"":0,""y2"":-52.631578947368396,""y3"":0,""x2"":-23.75}]","[""targ"",""comp"",""decoy""]","[0,1,2]","compromise-0.05shapes100",2,"-0.05",2000,2500.000000000002,2499.999999999999,2499.9999999999995,50,100,52.631578947368396,100,50,95,2,3,2,"rightangle","skew","skew",0,1,2,"5489673","0","targ",1538071392610,1538071394386,35
"[{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":0,""x1"":0,""x3"":100,""y1"":0,""y2"":50,""y3"":0,""x2"":0},{""base"":100,""height"":50,""templatetype"":""rightangle"",""orientation"":1,""x1"":0,""x3"":0,""y1"":0,""y2"":0,""y3"":100,""x2"":-50},{""base"":83.6660026534076,""height"":41.8330013267038,""templatetype"":""equilateral"",""orientation"":0,""x1"":0,""x3"":83.6660026534076,""y1"":0,""y2"":41.8330013267038,""y3"":0,""x2"":41.8330013267038}]","[""targ"",""comp"",""decoy""]","[1,0,2]","attraction0.7shapes001",0,"0.7",2000,2500.000000000002,2500.000000000002,1750.000000000002,50,100,41.8330013267038,100,50,83.6660026534076,0,1,0,"rightangle","rightangle","equilateral",1,0,2,"5489673","2","decoy",1538071394386,1538071395946,36
